Rk,Team,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,SEA,AL,162,116,46,.716,5.7,3.9,1.9,0.0,1.9,109-53,7,33-12,31-10,40-18,12-6,57-24,59-22,9-4,26-12,85-32,31-14,48-23,68-23
2,OAK,AL,162,102,60,.630,5.5,4.0,1.5,0.1,1.5,104-58,-2,31-14,27-14,32-26,12-6,53-28,49-32,7-7,21-19,68-38,34-22,42-32,60-28
3,NYY,AL,161,95,65,.594,5.0,4.4,0.6,-0.2,0.4,89-71,6,50-24,23-13,12-20,10-8,51-28,44-37,8-8,30-18,76-48,19-17,38-31,57-34
4,HOU,NL,162,93,69,.574,5.2,4.7,0.5,-0.1,0.4,88-74,5,18-12,50-34,16-17,9-6,44-37,49-32,9-7,29-23,71-57,22-12,39-36,54-33
5,STL,NL,162,93,69,.574,5.0,4.2,0.8,-0.2,0.6,94-68,-1,19-11,49-35,17-16,8-7,54-28,39-41,2-7,15-21,77-54,16-15,43-35,50-34
6,ARI,NL,162,92,70,.568,5.0,4.2,0.9,0.1,1.0,95-67,-3,18-14,22-17,45-31,7-8,48-33,44-37,9-6,23-25,67-54,25-16,42-43,50-27
7,CLE,AL,162,91,71,.562,5.5,5.1,0.5,-0.2,0.3,88-74,3,22-14,47-29,15-17,7-11,44-36,47-35,9-6,25-18,71-51,20-20,42-34,49-37
8,SFG,NL,162,90,72,.556,4.9,4.6,0.3,0.2,0.5,86-76,4,18-14,21-18,41-35,10-5,49-32,41-40,6-9,28-22,69-59,21-13,41-43,49-29
9,ATL,NL,162,88,74,.543,4.5,4.0,0.5,-0.2,0.4,90-72,-2,42-34,22-14,15-17,9-9,40-41,48-33,8-8,19-23,70-65,18-9,43-42,45-32
10,CHC,NL,162,88,74,.543,4.8,4.3,0.5,-0.1,0.4,89-73,-1,16-14,48-36,15-18,9-6,48-33,40-41,3-6,26-24,74-52,14-22,42-40,46-34
11,PHI,NL,162,86,76,.531,4.6,4.4,0.2,-0.1,0.0,84-78,2,41-35,19-17,19-13,7-11,47-34,39-42,7-8,27-22,69-58,17-18,36-45,50-31
12,LAD,NL,162,86,76,.531,4.7,4.6,0.1,0.2,0.3,82-80,4,17-15,23-16,40-36,6-9,44-37,42-39,7-6,29-29,61-58,25-18,41-40,45-36
13,MIN,AL,162,85,77,.525,4.8,4.7,0.0,-0.1,-0.1,81-81,4,13-19,47-29,16-20,9-9,47-34,38-43,8-7,25-19,67-56,18-21,34-43,51-34
14,CHW,AL,162,83,79,.512,4.9,4.9,0.0,-0.1,-0.1,81-81,2,16-16,42-34,13-23,12-6,46-35,37-44,7-4,22-22,66-61,17-18,26-51,57-28
15,BOS,AL,161,82,79,.509,4.8,4.6,0.2,-0.1,0.0,83-78,-1,41-34,16-20,15-17,10-8,41-40,41-39,6-8,19-23,67-56,15-23,27-42,55-37
16,NYM,NL,162,82,80,.506,4.0,4.4,-0.4,0.0,-0.5,73-89,9,43-33,15-21,14-18,10-8,44-37,38-43,10-10,30-20,67-63,15-17,40-44,42-36
17,TOR,AL,162,80,82,.494,4.7,4.6,0.1,-0.1,0.0,82-80,-2,37-39,19-13,16-20,8-10,40-42,40-40,10-6,28-21,64-62,16-20,37-47,43-35
18,SDP,NL,162,79,83,.488,4.9,5.0,-0.1,0.3,0.1,79-83,0,17-15,24-15,32-44,6-9,35-46,44-37,8-1,24-15,61-57,18-26,46-60,33-23
19,FLA,NL,162,76,86,.469,4.6,4.6,0.0,-0.1,-0.1,81-81,-5,34-42,19-17,11-21,12-6,46-34,30-52,5-11,19-29,61-63,15-23,40-60,36-26
20,ANA,AL,162,75,87,.463,4.3,4.5,-0.2,0.2,0.0,77-85,-2,24-17,24-21,17-41,10-8,39-42,36-45,7-8,24-24,53-60,22-27,37-55,38-32
21,TEX,AL,162,73,89,.451,5.5,6.0,-0.5,0.3,-0.2,75-87,-2,21-20,17-28,27-31,8-10,41-41,32-48,5-8,19-22,59-61,14-28,37-55,36-34
22,COL,NL,162,73,89,.451,5.7,5.6,0.1,0.2,0.3,82-80,-9,15-17,24-18,32-44,2-10,41-40,32-49,5-5,18-28,58-70,15-19,43-60,30-29
23,MIL,NL,162,68,94,.420,4.6,5.0,-0.4,0.0,-0.4,75-87,-7,15-15,37-47,11-22,5-10,36-45,32-49,5-7,13-25,54-74,14-20,42-57,26-37
24,MON,NL,162,68,94,.420,4.1,5.0,-0.9,0.0,-0.9,67-95,1,30-46,14-22,16-16,8-10,34-47,34-47,5-4,13-15,47-69,21-25,39-61,29-33
25,DET,AL,162,66,96,.407,4.5,5.4,-0.9,0.0,-0.9,67-95,-1,17-19,24-52,15-17,10-8,37-44,29-52,3-7,14-21,47-69,19-27,32-66,34-30
26,CIN,NL,162,66,96,.407,4.5,5.2,-0.7,0.0,-0.7,70-92,-4,16-14,32-52,14-19,4-11,27-54,39-42,7-5,20-22,52-73,14-23,37-62,29-34
27,KCR,AL,162,65,97,.401,4.5,5.3,-0.8,0.0,-0.8,69-93,-4,13-19,30-46,14-22,8-10,35-46,30-51,6-7,11-24,51-63,14-34,33-66,32-31
28,BAL,AL,162,63,98,.391,4.2,5.1,-0.9,0.0,-0.9,67-94,-4,31-44,16-16,10-26,6-12,30-50,33-48,5-6,16-27,50-71,13-27,28-58,35-40
29,TBD,AL,162,62,100,.383,4.1,5.5,-1.3,0.0,-1.3,61-101,1,29-47,13-19,10-26,10-8,37-44,25-56,5-5,17-19,49-77,13-23,31-54,31-46
30,PIT,NL,162,62,100,.383,4.1,5.3,-1.2,0.0,-1.2,62-100,0,7-23,36-48,11-22,8-7,38-43,24-57,4-4,22-20,50-80,12-20,31-67,31-33
