Rk,Team,Lg,G,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,y-LAD,NL,55,39,16,.709,W 1,5.8,3.5,2.3,-0.1,2.2,39-16,0,0-0,0-0,27-13,12-3,17-8,22-8,5-1,6-5,28-12,11-4,16-9,23-7,7-3,14-6,21-9
2,x-TBR,AL,56,36,20,.643,L 1,4.8,3.9,0.9,-0.2,0.7,33-23,3,27-13,0-0,0-0,9-7,17-9,19-11,4-3,13-5,27-12,9-8,21-9,15-11,6-4,11-9,19-11
3,x-CHW,AL,55,34,21,.618,L 3,5.1,3.9,1.3,0.0,1.2,34-21,0,0-0,25-13,0-0,9-8,17-10,17-11,1-2,5-6,21-21,13-0,13-18,21-3,5-5,12-8,20-10
4,w-SDP,NL,55,34,21,.618,L 1,5.5,4.0,1.5,0.0,1.5,35-20,-1,0-0,0-0,21-15,13-6,19-9,15-12,4-0,6-7,25-12,9-9,14-8,20-13,6-4,14-6,21-9
5,y-OAK,AL,54,33,21,.611,L 2,4.7,3.8,0.9,-0.5,0.5,32-22,1,0-0,0-0,24-12,9-9,20-8,13-13,5-0,7-6,24-19,9-2,13-7,20-14,5-5,11-9,17-13
6,x-MIN,AL,56,34,22,.607,W 3,4.5,3.5,1.0,0.1,1.1,34-22,0,0-0,22-17,0-0,12-5,22-5,12-17,3-0,8-5,25-15,9-7,21-12,13-10,6-4,14-6,17-13
7,y-ATL,NL,55,33,22,.600,W 3,5.9,4.7,1.3,-0.1,1.1,33-22,0,23-15,0-0,0-0,10-7,17-8,16-14,1-3,10-6,25-18,8-4,11-8,22-14,7-3,12-8,19-11
8,x-CHC,NL,55,32,23,.582,L 1,4.3,3.9,0.5,-0.2,0.2,30-25,2,0-0,22-16,0-0,10-7,19-14,13-9,3-1,10-8,25-19,7-4,22-18,10-5,6-4,11-9,16-14
9,x-NYY,AL,55,32,23,.582,W 1,5.4,4.3,1.1,-0.1,1.0,33-22,-1,23-15,0-0,0-0,9-8,21-7,11-16,5-1,6-6,26-17,6-6,9-13,23-10,8-2,12-8,16-14
10,x-CLE,AL,55,31,24,.564,W 3,4.1,3.4,0.8,0.1,0.8,33-22,-2,0-0,21-17,0-0,10-7,14-11,17-13,4-2,5-6,24-19,7-5,16-16,15-8,5-5,10-10,15-15
11,STL,NL,52,27,25,.519,W 1,4.2,4.0,0.3,-0.2,0.0,27-25,0,0-0,19-16,0-0,8-9,11-11,16-14,1-3,7-6,24-20,3-5,17-18,10-7,6-4,10-10,16-14
12,MIA,NL,55,28,27,.509,L 3,4.4,5.1,-0.7,0.1,-0.6,24-31,4,20-18,0-0,0-0,8-9,11-15,17-12,2-2,10-8,22-16,6-11,6-12,22-15,4-6,11-9,14-16
13,HOU,AL,55,28,27,.509,W 1,4.7,4.5,0.1,-0.2,-0.1,28-27,0,0-0,0-0,18-17,10-10,20-8,8-19,2-6,10-12,16-18,12-9,6-14,22-13,6-4,8-12,13-17
14,TOR,AL,55,28,27,.509,L 1,4.8,5.4,-0.6,0.0,-0.5,25-30,3,18-17,0-0,0-0,10-10,13-8,15-19,5-6,13-10,18-20,10-7,10-15,18-12,3-7,9-11,15-15
15,MIL,NL,54,27,27,.500,W 1,4.4,4.4,-0.1,-0.1,-0.2,26-28,1,0-0,17-17,0-0,10-10,15-14,12-13,3-2,11-5,16-22,11-5,17-20,10-7,7-3,11-9,16-14
16,CIN,NL,56,28,28,.500,L 1,4.0,4.1,-0.1,-0.3,-0.4,27-29,1,0-0,20-19,0-0,8-9,15-13,13-15,1-0,7-8,22-22,6-6,16-20,12-8,8-2,13-7,17-13
17,SFG,NL,54,27,27,.500,W 1,5.0,5.0,0.1,0.2,0.3,27-27,0,0-0,0-0,16-18,11-9,17-10,10-17,2-2,7-5,13-18,14-9,7-18,20-9,4-6,12-8,19-11
18,PHI,NL,56,27,29,.482,L 4,5.1,5.2,-0.1,0.0,-0.1,27-29,0,20-19,0-0,0-0,7-10,19-13,8-16,3-2,8-9,14-21,13-8,13-17,14-12,4-6,8-12,15-15
19,NYM,NL,55,25,30,.455,W 1,4.9,5.0,-0.1,0.1,-0.1,27-28,-2,16-20,0-0,0-0,9-10,12-16,13-14,1-4,5-10,18-16,7-14,14-17,11-13,4-6,10-10,14-16
20,LAA,AL,56,25,31,.446,W 2,5.0,5.3,-0.4,-0.3,-0.6,26-30,-1,0-0,0-0,19-21,6-10,16-15,9-16,3-5,9-8,16-23,9-8,13-17,12-14,7-3,13-7,17-13
21,COL,NL,54,24,30,.444,L 1,4.6,5.8,-1.2,0.4,-0.7,22-32,2,0-0,0-0,15-19,9-11,12-18,12-12,0-2,8-8,14-22,10-8,14-22,10-8,3-7,7-13,11-19
22,SEA,AL,55,24,31,.436,L 1,4.2,5.2,-1.0,-0.1,-1.1,22-33,2,0-0,0-0,17-18,7-13,14-12,10-19,1-2,6-8,17-19,7-12,8-21,16-10,4-6,11-9,17-13
