Team,Games,Wins,Home Games,Home Wins
Minnesota Vikings,16,11,8,7
Chicago Bears,16,5,8,3
Indianapolis Colts,16,10,8,6
Kansas City Chiefs,16,7,8,5
Washington Redskins,16,8,8,4
Carolina Panthers,16,7,8,5
Atlanta Falcons,16,4,8,3
San Francisco 49ers,16,6,8,4
Baltimore Ravens,16,12,8,6
Pittsburgh Steelers,16,9,8,4
Jacksonville Jaguars,16,7,8,4
Cleveland Browns,16,3,8,2
Tampa Bay Buccaneers,16,10,8,6
New England Patriots,16,5,8,3
Detroit Lions,16,9,8,4
New Orleans Saints,16,10,8,3
New York Giants,16,12,8,5
Arizona Cardinals,16,3,8,3
Philadelphia Eagles,16,11,8,5
Dallas Cowboys,16,5,8,3
Oakland Raiders,16,12,8,7
San Diego Chargers,16,1,8,1
Miami Dolphins,16,11,8,5
Seattle Seahawks,16,6,8,3
New York Jets,16,9,8,5
Green Bay Packers,16,9,8,6
Buffalo Bills,16,8,8,5
Tennessee Titans,16,13,8,7
St. Louis Rams,16,10,8,5
Denver Broncos,16,11,8,6
Cincinnati Bengals,16,4,8,3
