Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,14,2,.875,348,238,110,6.9,0.1,6.9,2.1,4.9
Miami Dolphins,10,6,.625,311,261,50,3.1,0.3,3.4,-0.7,4.1
Buffalo Bills,6,10,.375,243,279,-36,-2.3,1.3,-1.0,-5.0,4.0
New York Jets,6,10,.375,283,299,-16,-1.0,0.4,-0.6,-1.9,1.3
Baltimore Ravens*,10,6,.625,391,281,110,6.9,-0.6,6.3,3.3,3.0
Cincinnati Bengals,8,8,.500,346,384,-38,-2.4,0.0,-2.4,1.1,-3.5
Pittsburgh Steelers,6,10,.375,300,327,-27,-1.7,0.6,-1.1,-2.5,1.4
Cleveland Browns,5,11,.313,254,322,-68,-4.3,1.3,-2.9,-5.3,2.4
Indianapolis Colts*,12,4,.750,447,336,111,6.9,0.0,7.0,8.2,-1.2
Tennessee Titans+,12,4,.750,435,324,111,6.9,-0.5,6.5,7.0,-0.5
Jacksonville Jaguars,5,11,.313,276,331,-55,-3.4,1.0,-2.4,-3.3,0.9
Houston Texans,5,11,.313,255,380,-125,-7.8,1.9,-6.0,-4.4,-1.5
Kansas City Chiefs*,13,3,.813,484,332,152,9.5,-1.2,8.3,9.2,-0.9
Denver Broncos+,10,6,.625,381,301,80,5.0,0.5,5.5,2.4,3.1
Oakland Raiders,4,12,.250,270,379,-109,-6.8,1.3,-5.5,-4.2,-1.3
San Diego Chargers,4,12,.250,313,441,-128,-8.0,1.2,-6.8,-0.6,-6.2
Philadelphia Eagles*,12,4,.750,374,287,87,5.4,-1.0,4.4,2.9,1.5
Dallas Cowboys+,10,6,.625,289,260,29,1.8,-2.3,-0.5,-3.2,2.7
Washington Redskins,5,11,.313,287,372,-85,-5.3,-0.4,-5.7,-1.9,-3.8
New York Giants,4,12,.250,243,387,-144,-9.0,0.4,-8.6,-4.8,-3.7
Green Bay Packers*,10,6,.625,442,307,135,8.4,-0.3,8.1,6.2,1.9
Minnesota Vikings,9,7,.563,416,353,63,3.9,-1.0,2.9,4.0,-1.1
Chicago Bears,7,9,.438,283,346,-63,-3.9,0.4,-3.5,-4.2,0.7
Detroit Lions,5,11,.313,270,379,-109,-6.8,1.0,-5.8,-4.3,-1.6
Carolina Panthers*,11,5,.688,325,304,21,1.3,-2.2,-0.9,-1.5,0.6
New Orleans Saints,8,8,.500,340,326,14,0.9,-1.1,-0.3,0.1,-0.4
Tampa Bay Buccaneers,7,9,.438,301,264,37,2.3,-0.7,1.6,-2.9,4.5
Atlanta Falcons,5,11,.313,299,422,-123,-7.7,0.3,-7.4,-2.0,-5.4
St. Louis Rams*,12,4,.750,447,328,119,7.4,-1.6,5.9,6.0,-0.2
Seattle Seahawks+,10,6,.625,404,327,77,4.8,-0.7,4.1,3.6,0.5
San Francisco 49ers,7,9,.438,384,337,47,2.9,0.1,3.1,3.0,0.1
Arizona Cardinals,4,12,.250,225,452,-227,-14.2,1.6,-12.6,-6.3,-6.2
