Team,Games,Wins,Home Games,Home Wins
Washington Capitals,82,54,41,30
Boston Bruins,82,39,41,18
Vancouver Canucks,82,49,41,30
Calgary Flames,82,40,41,20
San Jose Sharks,82,51,41,27
Colorado Avalanche,82,43,41,24
Montreal Canadiens,82,39,41,20
Toronto Maple Leafs,82,30,41,18
Philadelphia Flyers,82,41,41,24
Carolina Hurricanes,82,35,41,21
Florida Panthers,82,32,41,16
Chicago Blackhawks,82,52,41,29
St. Louis Blues,82,40,41,18
Detroit Red Wings,82,44,41,25
New York Rangers,82,38,41,18
Pittsburgh Penguins,82,47,41,25
Anaheim Ducks,82,39,41,25
Tampa Bay Lightning,82,34,41,21
Atlanta Thrashers,82,35,41,19
Buffalo Sabres,82,45,41,25
Minnesota Wild,82,38,41,25
Columbus Blue Jackets,82,32,41,20
Nashville Predators,82,47,41,24
Dallas Stars,82,37,41,23
Edmonton Oilers,82,27,41,18
Phoenix Coyotes,82,50,41,29
Los Angeles Kings,82,46,41,22
New Jersey Devils,82,48,41,27
New York Islanders,82,34,41,23
Ottawa Senators,82,44,41,26
